MANDT,GJAHR,MONAT,BUDAT_MKPF,WERKS,BWART,INDICADOR,MATNR,ORIGEN,MAKTX,CHARG,HSDAT,CANTIDAD,CANTIDADABSOLUTA,ERFME,USNAM_MKPF,MOVIMIENTO,OPFLAG
600,2024,11,20241101,TCHI,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CHI2401020,20241130,6,6,TO,ASANCHEZM,HARINA E GENERAL,I
600,2024,12,20241202,TVEG,261,REPROCESO                               ,000000000050003905                      ,Comercial,HARINA NC. COLOR,CNO2400433,20240531,2,2,TO,JPALACIOS,HARINA NC. COLOR,I
600,2024,11,20241101,TCHI,262,Neteo 261                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CHI2401020,20241201,-12,12,TO,DMENDEZ,HARINA E GENERAL,I
600,2024,11,20241129,TCHI,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,CHI2400006,20240417,10,10,TO,ASANCHEZM,HARINA NC. ANTIGUEDAD >4/6 MESES,I
600,2024,11,20241129,TCHI,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CHI2401020,20241129,9,9,TO,ASANCHEZM,HARINA E GENERAL,I
600,2024,11,20241129,TCNO,261,REPROCESO                               ,000000000050003924                      ,Producción,HARINA NC. TVN,SAM2400120,20240523,2,2,TO,CAGUTIERREZ,HARINA NC. TVN,I
600,2024,11,20241129,TCNO,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,CNO2400619,20241119,14,14,TO,CAGUTIERREZ,HARINA E GENERAL,I
600,2024,11,20241129,TPSU,261,REPROCESO                               ,000000000050004985                      ,Producción,HARINA E GENERAL,PSU2400170,20241128,2,2,TO,JGARCIA,HARINA E GENERAL,I
600,2024,11,20241129,TSUP,261,REPROCESO                               ,000000000050003902                      ,Comercial,HARINA NC. ANTIGUEDAD >4/6 MESES,SAM2416003,20231101,6.2,6.2,TO,GLOPEZ,HARINA NC. ANTIGUEDAD >4/6 MESES,I
600,2024,11,20241129,TSUP,261,REPROCESO                               ,000000000050003905                      ,Comercial,HARINA NC. COLOR,MSU2400635,20240602,4,4,TO,GLOPEZ,HARINA NC. COLOR,I
600,2024,11,20241129,TSUP,261,REPROCESO                               ,000000000050003915                      ,Producción,HOMOGENIZACION POR BAJA CALIDAD,MAT2400054,20240714,18,18,TO,GLOPEZ,HOMOGENIZACION POR BAJA CALIDAD,I
